TV,Radio,Social Media,Influencer,Ventas reales,Ventas predichas
78.0,24.99209995,4.209574548,3,277.2413366,277.66192206240487
66.0,20.43830433,2.097019822,1,236.1587125,234.89299577056573
47.0,15.89286029,2.001411881,4,167.7246684,167.29843005376955
46.0,5.523665535,1.952389236,3,159.0684125,163.71408974399955
47.0,14.07755898,0.062540126,3,170.4688777,167.29654866597966
55.0,15.39492963,4.813227646,4,196.7187138,195.75932011591425
10.0,4.952233443,2.039853759,3,37.94248252,35.48260478415144
78.0,30.11726533,3.357794085,3,278.955153,277.67071416966814
14.0,4.269271761,1.705284552,1,49.11321626,49.6815794614903
29.0,9.487993613,0.250432849,2,105.7767079,103.15389109854128
98.0,27.66981156,1.605374723,1,345.5559312,348.8793215586293
98.0,31.36391464,5.657550436,1,351.4266721,348.82762129258737
33.0,12.52223274,0.056339938,2,119.0233823,117.40308240312247
98.0,28.55292026,5.105355549,1,347.1633989,348.83547806727285
40.0,12.1535313,4.060535456,2,144.9858839,142.28713508699008
95.0,37.81759713,4.893097259,4,342.1968478,338.2288835187804
75.0,22.65024416,1.537757637,4,263.8075933,267.03673020085455
73.0,24.18800586,5.899739191,1,264.2218327,259.77810609634827
45.0,16.92875024,0.551052977,2,162.2357016,160.13891216547094
78.0,37.47760817,12.10801729,2,277.3375508,277.53265449554266
87.0,25.30886812,0.888742374,3,314.1227914,309.76076483820907
63.0,21.11777814,0.500862283,3,223.8704545,224.2799978464806
85.0,32.78584244,3.253216367,3,303.0606747,302.60480384229703
29.0,12.99586641,0.270843681,1,107.4545729,103.12576804907268
86.0,18.58905369,2.780680191,2,304.9511132,306.150999384995
89.0,34.72354863,6.137642552,3,315.2344468,316.81609000136865
13.0,8.233607467,1.324969168,4,47.60129082,46.202861310526785
100.0,33.15180841,5.473668013,1,352.0316527,355.9532017909694
49.0,17.4557372,3.492273273,3,170.7516549,174.37662358463297
47.0,18.22307143,1.474865689,3,169.7622455,167.27752423245013
87.0,21.65560783,4.342996442,3,306.9010938,309.71908541339127
14.0,6.754820647,4.942437287,1,47.02611484,49.640441504621315
70.0,22.02797304,5.556095046,3,247.9725884,249.1505279272141
44.0,23.13440248,3.02294212,4,155.9413351,156.59729439418234
79.0,27.41497388,2.039587033,4,277.9778975,281.27665702549126
100.0,30.10706369,8.054539885,4,357.7881952,356.0020782085282
90.0,24.74690445,7.061842686,4,323.8554048,320.396699878665
41.0,18.82047294,2.036738638,2,146.0486457,145.8719236454143
59.0,17.85584792,4.287900392,3,209.5932192,209.98619739273258
46.0,15.73424826,3.670681166,4,160.4675811,163.71576232677774
50.0,16.07391542,2.133291153,2,176.445489,177.92933811586315
43.0,23.36300311,3.930571161,3,146.2867782,152.99732825537032
75.0,25.26324859,2.504473175,1,267.235998,266.9438805548696
16.0,6.352914129,5.654725259,1,64.56053498,56.75564548530592
85.0,36.24543619,8.863215031,3,305.7394717,302.53380977134816
84.0,27.93352343,3.978525877,3,300.5678307,299.03552777786655
80.0,27.5636699,1.277631295,2,284.0579455,284.7947719166786
27.0,13.22766271,5.247674761,1,98.78179678,95.93986236038492
19.0,11.84308384,1.411744529,3,63.78917282,67.54564342289171
61.0,20.16105438,3.305574466,1,219.1887773,217.06825593024485
59.0,18.05024365,2.889912691,3,210.5037124,210.00351726610185
70.0,24.90507404,2.458070702,2,249.4106969,249.16141394643574
55.0,20.10848671,2.728374334,4,195.102176,195.78359399262524
91.0,22.27671374,3.290079821,4,322.6677652,324.0064429968518
90.0,33.54395616,7.805689746,1,323.0028062,320.3044475236658
60.0,23.24355676,3.593966804,2,212.4125063,213.52825936308037
53.0,16.94523174,2.181723009,2,188.8248058,188.6143124694724
61.0,23.13228707,6.415854366,2,223.4387605,217.05516077933112
43.0,7.640104606,2.263525827,4,150.1102653,153.05022790766498
36.0,16.01664419,2.893217344,1,126.1776343,128.0258159126416
88.0,26.00963987,1.495600762,1,321.0466894,313.261660205051
92.0,25.05226608,7.118749557,2,333.0185055,327.4665356795194
43.0,17.1361121,3.371310994,4,151.6631466,153.03310974145623
26.0,10.59953251,0.679275349,3,91.92229739,92.48891862603801
84.0,22.47695972,2.357758852,2,295.7135652,299.0309703192867
35.0,14.30888641,1.266797266,4,123.4672451,124.56459158834708
31.0,10.82249016,0.857715137,3,107.3165162,110.29642605730317
78.0,26.62195735,3.352122062,4,282.0505985,277.69864947843826
40.0,8.398906234,1.465690951,4,146.0624753,142.37400139695464
83.0,27.92371868,8.566793342,3,295.5055495,295.41650108247836
43.0,15.18856944,0.760136913,3,153.6034143,153.03963698730934
80.0,30.28224548,7.438100621,3,283.2811538,284.7438272183387
43.0,17.43919472,2.697972086,4,153.0511109,153.0413781768068
43.0,8.871398971,3.545252188,3,154.0226563,153.00721716556646
56.0,25.27608704,3.239265214,4,198.3215216,199.33738326262875
15.0,7.033246644,4.29895887,3,53.62777047,53.263579375488675
86.0,28.37383108,4.539821932,4,306.6991275,306.1789491769601
22.0,4.85349411,0.017377461,2,80.92197504,78.2246922827039
31.0,12.22596591,0.397207276,3,111.1431062,110.30166031235703
79.0,33.69096007,7.889353903,2,279.6918286,281.14841914499254
80.0,26.45466629,7.956071282,1,279.1802705,284.6854596138065
71.0,23.35785141,4.385036868,3,250.3608641,252.72658697912638
100.0,35.08319587,6.750893552,4,353.1287078,356.01654305562715
80.0,27.53148648,8.330084621,1,281.6446174,284.68042893050944
35.0,9.497455756,2.826741899,3,124.3064335,124.52024541280136
65.0,24.69295619,1.758171533,1,231.1410974,231.33375308233082
